ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
1,  Yovi&#39;s Chicago Style Hot Dogs,100,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant without Liquor
2, Dollar General #12185,3750,Saw Mill Run Boulevard,Pittsburgh,PA,15227,Brentwood,Chain Packaged Food Only
3, Harmarville Rehabilitation Hospital Kitchen,320,Guys Run Road,Pittsburgh,PA,15238,Indiana,Hospital/Other Institution
4, Holy Angels Evangelical Lutheran Church,201,Caldwell Avenue,Wilmerding,PA,15148,Wilmerding,Adult Food Service
5, Holy Family Institute / Chatham Day School ,227,Bonvue Street,Pittsburgh,PA,15214,Pittsburgh-126,School Satellite Kitchen
6, Holy Martyrs Parish,353,9th Avenue,Tarentum,PA,15084,Tarentum,Adult Food Service
7, Penn Society,210,10th Street,Pittsburgh,PA,15222,Pittsburgh-102,Social Club-Bar Only
8, Pizzaiolo Primo,8,Market  Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant with Liquor
9, Save A Lot / North Versailles,355,Lincoln Hwy,North Versailles,PA,15137,North Versailles,Chain Supermarket
10, Scarpaci&#39;s,307,Shiloh St,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor
11, St. John Lutheran Church,601,Washington Ave,Carnegie,PA,15106,Carnegie,Adult Food Service
12, Sunoco / Brookline,533,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,Chain Retail/Convenience Store
13, The Circuit Center / Fluted Mushroom,5,Hot Metal St,Pittsburgh,PA,15203,Pittsburgh-116,Banquet Hall
14, Verdetto&#39;s Bar &amp; Restaurant,814,Madison Ave,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor
15,#1 China Garden Buffet,6401,Penn Ave,Pittsburgh,PA,15206,Pittsburgh-112,Restaurant without Liquor
16,#1 Cochran Cafe,4520,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Restaurant without Liquor
17,$1 &amp; Up,744,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,Retail/Convenience Store
18,12th Tee Snack Bar,400,Longue Vue Dr,Verona,PA,15147,Penn Hills,Restaurant without Liquor
19,1311,1311,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor
20,1313 Bar,1313,Kennedy  Avenue,Duquesne,PA,15110,Duquesne,Restaurant with Liquor
21,1613 Saloon,1613,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Restaurant with Liquor
