2001,1001 Carson Street,Pittsburgh,PA,15203
2002,3300 Saw Mill Run Blvd,Pittsburgh,PA,15227
2003,2600 Ardmore Blvd,Pittsburgh,PA,15221
2004,119 N Sheridan Ave,Pittsburgh,PA,15206
2005,21 Foster Avenue,Pittsburgh,PA,15205
2006,201 3rd Street,Dravosburg,PA,15034
2007,1019 West View Park Drive,Pittsburgh,PA,15229
2008,5816 Library Road,Bethel Park,PA,15102
2009,1300 Brodhead Road,Coraopolis,PA,15108
2010,11822 Frankstown  Road,Pittsburgh,PA,15235
2011,4305 Northern  Pike,Monroeville,PA,15146
2012,300 6th Avenue,Pittsburgh,PA,15222
2013,1509 Potomac  Avenue,Pittsburgh,PA,15216
2014,214 E Main St,Carnegie,PA,15106
2015,151 Margaret St,Pittsburgh,PA,15210
2016,207 Bettis Rd,West Mifflin,PA,15122
2017,3764 Saxonburg Boulevard,Pittsburgh,PA,15238
2018,1729 Eckert St,Pittsburgh,PA,15212
2019,7936 Steubenville Pike,Oakdale,PA,15071
2020,530 Locust St,Mc Keesport,PA,15132
2021,600 Donaldson Road,Oakdale,PA,15071
2022,4711 Liberty Ave,Pittsburgh,PA,15224
2023,46 Fox Chapel Road,Pittsburgh,PA,15238
2024,553 Brushton Ave,Pittsburgh,PA,15208
2025,1226 Herron Ave,Pittsburgh,PA,15219
2026,6409 Brownsville Road,Pittsburgh,PA,15236
2027,1709 Eden Park Blvd,Mc Keesport,PA,15132
2028,7315 Saltsburg Rd,Pittsburgh,PA,15235
2029,2414 Brownsville Rd,Pittsburgh,PA,15210
2030,2328 Freeport Road,Natrona Heights,PA,15065
2031,5004 William Flynn Highway,Gibsonia,PA,15044
2032,8900 Duncan Avenue,Pittsburgh,PA,15237
2033,1430 Potomac Avenue,Pittsburgh,PA,15216
2034,413 Bower Hill Road,Bridgeville,PA,15017
2035,5604 Solway Street,Pittsburgh,PA,15217
2036,6408 Brownsville Rd,Pittsburgh,PA,15236
2037,12 Washington Avenue,Oakmont,PA,15139
2038,3200 Annapolis  Avenue,Pittsburgh,PA,15216
2039,224 8th  Avenue,Homestead,PA,15120
2040,1228 Long Run Rd,Mc Keesport,PA,15131
2041,3732 Saxonburg Boulevard,Pittsburgh,PA,15238
2042,300 Mt Lebanon  Boulevard,Pittsburgh,PA,15234
2043,2634 5th Ave,Mc Keesport,PA,15132
2044,2305 O&#39;Neil Boulevard,Mc Keesport,PA,15131
2045,1635 Nobles Lane,Pittsburgh,PA,15210
2046,307 Grant Avenue,Pittsburgh,PA,15209
2047,709 East St,Pittsburgh,PA,15212
2048,610 Evans Ave,Mc Keesport,PA,15132
2049,2339 Carson  Street,Pittsburgh,PA,15203
2050,910 Sheraton  Drive,Mars,PA,16046
2051,8402 University Blvd,Coraopolis,PA,15108
2052,1 Bigelow Square,Pittsburgh,PA,15219
2053,101 Mall  Boulevard,Monroeville,PA,15146
2054,500 Mansfield Avenue,Pittsburgh,PA,15205
2055,500 Mansfield Avenue,Pittsburgh,PA,15205
2056,2301 Brownsville Rd,Pittsburgh,PA,15210
2057,508 Island Ave,Mc Kees Rocks,PA,15136
2058,700 Unity Center Rd,Pittsburgh,PA,15239
2059,6080 Steubenville Pike,Mc Kees Rocks,PA,15136
2060,5000 Gateway Campus Blvd,Monroeville,PA,15146
2061,2419 Baldwick Road,Pittsburgh,PA,15205
2062,501 East Ohio Street,Pittsburgh,PA,15209
2063,140 Allegheny River Boulevard,Verona,PA,15147
2064,3360 Main Street,Homestead,PA,15120
2065,503 Lincoln  Avenue,Pittsburgh,PA,15202
2066,&nbsp; 6th &amp; Ravine St,Dravosburg,PA,15034
