"1411","200 Monroeville Mall, Monroeville, PA, 15146","Match","Non_Exact","200 MONROEVILLE BLVD, MONROEVILLE, PA, 15146","-79.78483,40.431606","606397006","L"
"1410","4313 Walnut St, Mc Keesport, PA, 15132","Match","Non_Exact","4313 WALNUT ST, MCKEESPORT, PA, 15132","-79.83594,40.320553","51678708","L"
"1415","1000 Ross Park Mall  Drive, Pittsburgh, PA, 15237","Match","Exact","1000 ROSS PARK MALL DR, PITTSBURGH, PA, 15237","-80.00653,40.541016","607624110","R"
"1414","100 Robinson Center Drive, Pittsburgh, PA, 15205","No_Match"
"1413","301 South Hills Village - FC2, Pittsburgh, PA, 15241","Match","Exact","301 S HILLS VILLAGE, PITTSBURGH, PA, 15241","-80.057594,40.33961","622975278","L"
"1412","5500 Butler Street, Pittsburgh, PA, 15201","Match","Exact","5500 BUTLER ST, PITTSBURGH, PA, 15201","-79.949776,40.483643","51643561","R"
"1419","409 Broad St, Sewickley, PA, 15143","Match","Exact","409 BROAD ST, SEWICKLEY, PA, 15143","-80.18145,40.539345","51691621","L"
"1418","4059 Wm Penn Hwy, Monroeville, PA, 15146","No_Match"
"1417","5440 Walnut St, Pittsburgh, PA, 15232","Match","Exact","5440 WALNUT ST, PITTSBURGH, PA, 15232","-79.93458,40.450924","51645088","R"
"1416","10441 Perry  Highway, Wexford, PA, 15090","Match","Exact","10441 PERRY HWY, WEXFORD, PA, 15090","-80.05465,40.61328","51935916","L"
"1821","617 N Homewood Ave, Pittsburgh, PA, 15208","Match","Exact","617 N HOMEWOOD AVE, PITTSBURGH, PA, 15208","-79.89726,40.455036","51647838","L"
"1822","2218 Spring St, Pittsburgh, PA, 15210","Match","Exact","2218 SPRING ST, PITTSBURGH, PA, 15210","-79.97579,40.416363","639689209","R"
"1820","&nbsp; Porters Hollow Road, Coraopolis, PA, 15108","No_Match"
"1825","2312 Main Street, Pittsburgh, PA, 15215","Match","Exact","2312 MAIN ST, PITTSBURGH, PA, 15215","-79.914055,40.493343","623352804","L"
"1826","1717 Cochran Rd, Pittsburgh, PA, 15220","Match","Exact","1717 COCHRAN RD, PITTSBURGH, PA, 15220","-80.06344,40.393032","51631380","L"
"1823","2800 Freeport Road, Springdale, PA, 15144","No_Match"
"1824","3614 Wm Flynn Hwy, Allison Park, PA, 15101","No_Match"
"1829","5227 Butler  Street, Pittsburgh, PA, 15201","Match","Exact","5227 BUTLER ST, PITTSBURGH, PA, 15201","-79.9542,40.480804","51642041","L"
"1827","560 McKeesport Rd, Elizabeth, PA, 15037","Match","Exact","560 MCKEESPORT RD, ELIZABETH, PA, 15037","-79.87815,40.27647","51661790","L"
"1828","3451 Harts Run Road, Glenshaw, PA, 15116","Match","Exact","3451 HARTS RUN RD, GLENSHAW, PA, 15116","-79.914734,40.551693","51712993","R"
"1420","532 Monongahela Ave, Glassport, PA, 15045","Match","Exact","532 MONONGAHELA AVE, GLASSPORT, PA, 15045","-79.89251,40.32706","51660067","R"
"1422","610 Lincoln Avenue, Pittsburgh, PA, 15202","Match","Exact","610 LINCOLN AVE, PITTSBURGH, PA, 15202","-80.05872,40.49713","51620746","R"
"1421","909 5th Ave, Coraopolis, PA, 15108","Match","Exact","909 5TH AVE, CORAOPOLIS, PA, 15108","-80.1665,40.5183","51612539","L"
"1424","3200 McIntyre Square Dr, Pittsburgh, PA, 15237","No_Match"
"1423","4219 Murray Avenue, Pittsburgh, PA, 15217","Match","Exact","4219 MURRAY AVE, PITTSBURGH, PA, 15217","-79.92874,40.42291","51650310","L"
"1426","1202 5th Ave, Pittsburgh, PA, 15219","Match","Exact","1202 5TH AVE, PITTSBURGH, PA, 15219","-79.98888,40.43871","639702691","R"
"1425","630 E Ohio St, Pittsburgh, PA, 15212","Match","Exact","630 E OHIO ST, PITTSBURGH, PA, 15212","-79.99819,40.453953","51627779","L"
"1428","807 1/2 Broadway Ave, Mc Kees Rocks, PA, 15136","Match","Non_Exact","807 BROADWAY ST, MC KEES ROCKS, PA, 15136","-80.07483,40.472984","51621091","L"
"1427","4060 Brownsville Road, Pittsburgh, PA, 15227","Match","Exact","4060 BROWNSVILLE RD, PITTSBURGH, PA, 15227","-79.98193,40.36595","51937369","R"
"1429","520 3rd  Ave, Pittsburgh, PA, 15219","Match","Exact","520 3RD AVE, PITTSBURGH, PA, 15219","-79.99801,40.4375","635953191","R"
"1810","117 Twilight Drive, Belle Vernon, PA, 15012","No_Match"
"1811","5811 Ellsworth Avenue, Pittsburgh, PA, 15232","Match","Exact","5811 ELLSWORTH AVE, PITTSBURGH, PA, 15232","-79.930466,40.45641","639085506","L"
"1812","709 Chartiers  Avenue, Mc Kees Rocks, PA, 15136","Match","Exact","709 CHARTIERS AVE, MC KEES ROCKS, PA, 15136","-80.062096,40.46567","51621766","L"
"1813","1962 Lowrie  Street, Pittsburgh, PA, 15212","Match","Exact","1962 LOWRIE ST, PITTSBURGH, PA, 15212","-79.98038,40.466953","51628299","L"
"1814","944 Brookline Blvd, Pittsburgh, PA, 15226","Match","Exact","944 BROOKLINE BLVD, PITTSBURGH, PA, 15226","-80.01823,40.39246","51637718","R"
"1815","559 Lincoln Ave, Pittsburgh, PA, 15202","Match","Exact","559 LINCOLN AVE, PITTSBURGH, PA, 15202","-80.05745,40.49648","51620750","L"
"1816","134 Broadlawn Drive, Elizabeth, PA, 15037","Match","Exact","134 BROADLAWN DR, ELIZABETH, PA, 15037","-79.821144,40.28425","51813267","R"
"1817","207 Atwood  Street, Pittsburgh, PA, 15213","Match","Exact","207 ATWOOD ST, PITTSBURGH, PA, 15213","-79.9575,40.440994","51649021","L"
"1818","180 E Waterfront Dr, Homestead, PA, 15120","No_Match"
"1819","1943 Big Sewickley Creek Rd, Sewickley, PA, 15143","Match","Exact","1943 BIG SEWICKLEY CREEK RD, SEWICKLEY, PA, 15143","-80.154755,40.60969","52569685","R"
"1437","5986 Centre  Avenue, Pittsburgh, PA, 15206","Match","Exact","5986 CENTRE AVE, PITTSBURGH, PA, 15206","-79.92952,40.458607","51701861","R"
"1436","1720 Washington Road, Pittsburgh, PA, 15241","Match","Exact","1720 WASHINGTON RD, PITTSBURGH, PA, 15241","-80.05289,40.348152","622975118","R"
"1435","1614 Cochran Road, Pittsburgh, PA, 15220","Match","Exact","1614 COCHRAN RD, PITTSBURGH, PA, 15220","-80.05895,40.390644","622667051","R"
"1434","211 Forbes Avenue, Pittsburgh, PA, 15222","Match","Exact","211 FORBES AVE, PITTSBURGH, PA, 15222","-80.00196,40.440514","51701618","L"
"1433","4861 McKnight Road, Pittsburgh, PA, 15237","Match","Exact","4861 MCKNIGHT RD, PITTSBURGH, PA, 15237","-80.008255,40.50573","617244528","L"
"1432","4800 Baum Blvd, Pittsburgh, PA, 15213","Match","Exact","4800 BAUM BLVD, PITTSBURGH, PA, 15213","-79.947586,40.45439","51644458","R"
"1431","509 Clairton Blvd, Pittsburgh, PA, 15236","No_Match"
"1430","250 Pacific Avenue, Pittsburgh, PA, 15224","Tie"
"1439","11359 Perry Highway, Wexford, PA, 15090","Match","Exact","11359 PERRY HWY, WEXFORD, PA, 15090","-80.05442,40.625614","51605933","L"
"1438","4137 William Penn Highway, Monroeville, PA, 15146","Match","Exact","4137 WILLIAM PENN HWY, MONROEVILLE, PA, 15146","-79.76818,40.438755","606389339","L"
"1843","163 Union Road, Cheswick, PA, 15024","Match","Non_Exact","163 E UNION RD, CHESWICK, PA, 15024","-79.85627,40.62092","607601037","R"
"1844","11885 Perry  Highway, Wexford, PA, 15090","No_Match"
"1841","57 East Union Road, Cheswick, PA, 15024","No_Match"
"1842","17 East Union Road, Cheswick, PA, 15024","No_Match"
"1840","1715 Saxonburg Blvd, Tarentum, PA, 15084","Match","Exact","1715 SAXONBURG BLVD, TARENTUM, PA, 15084","-79.84791,40.645905","51662433","R"
"1440","8870 Covenant  Drive, Pittsburgh, PA, 15237","No_Match"
"1849","4034 Butler St, Pittsburgh, PA, 15201","Match","Exact","4034 BUTLER ST, PITTSBURGH, PA, 15201","-79.96157,40.46926","51642296","R"
"1847","1737 E Carson, Pittsburgh, PA, 15203","Match","Non_Exact","1737 E CARSON ST, PITTSBURGH, PA, 15203","-79.98146,40.428814","51635997","L"
"1848","500 Station St, Wilmerding, PA, 15148","Match","Exact","500 STATION ST, WILMERDING, PA, 15148","-79.80971,40.39326","51815782","R"
"1845","5001 Freeport Road, Natrona Heights, PA, 15065","Match","Exact","5001 FREEPORT RD, NATRONA HTS, PA, 15065","-79.70839,40.650993","641821289","R"
"1846","91 Fort Couch  Road, Pittsburgh, PA, 15241","Match","Exact","91 FORT COUCH RD, PITTSBURGH, PA, 15241","-80.05223,40.34027","607644305","L"
"1446","6302 Robinson Center Drive, Pittsburgh, PA, 15205","No_Match"
"1445","1650 Metropolitan Street, Pittsburgh, PA, 15223","Match","Non_Exact","1650 METROPOLITAN ST, PITTSBURGH, PA, 15233","-80.03135,40.45563","51623833","R"
"1448","448 Pittsburgh Street, Springdale, PA, 15144","Match","Exact","448 PITTSBURGH ST, SPRINGDALE, PA, 15144","-79.78752,40.541237","51707270","R"
"1447","2312 Main St, Pittsburgh, PA, 15215","Match","Exact","2312 MAIN ST, PITTSBURGH, PA, 15215","-79.914055,40.493343","623352804","L"
"1442","1027 Freeport Road, Pittsburgh, PA, 15238","Match","Exact","1027 FREEPORT RD, PITTSBURGH, PA, 15238","-79.852936,40.515537","622374945","L"
"1441","3009 Washington Pike, Bridgeville, PA, 15017","Match","Non_Exact","3009 WASHINGTON AVE, BRIDGEVILLE, PA, 15017","-80.114334,40.35519","51617622","R"
"1444","310 McHolme Drive, Pittsburgh, PA, 15275","No_Match"
"1443","3619 Forbes  Avenue, Pittsburgh, PA, 15213","Match","Exact","3619 FORBES AVE, PITTSBURGH, PA, 15213","-79.958015,40.440815","639331506","L"
"1449","7859 Steubenville Pike, Oakdale, PA, 15071","Match","Exact","7859 STEUBENVILLE PIKE, OAKDALE, PA, 15071","-80.21961,40.439617","634308144","R"
"1830","1110 Park Manor Boulevard, Pittsburgh, PA, 15205","Match","Exact","1110 PARK MANOR BLVD, PITTSBURGH, PA, 15205","-80.16257,40.450428","51931538","R"
"1831","2015 Penn Avenue, Pittsburgh, PA, 15222","Match","Exact","2015 PENN AVE, PITTSBURGH, PA, 15222","-79.983795,40.451225","51628479","L"
"1832","1256 Evergreen  Avenue, Pittsburgh, PA, 15209","Match","Exact","1256 EVERGREEN AVE, PITTSBURGH, PA, 15209","-79.975876,40.49451","623368731","R"
"1833","200 Loews  Drive, North Versailles, PA, 15137","Match","Exact","200 LOEWS DR, NORTH VERSAILLES, PA, 15137","-79.82243,40.3877","51818581","L"
"1838","13 Creighton - Russellton Road, Russellton, PA, 15076","No_Match"
"1839","284 East Union  Road, Cheswick, PA, 15024","Match","Exact","284 E UNION RD, CHESWICK, PA, 15024","-79.85161,40.608433","51662542","L"
"1450","5129 Brightwood Road, Bethel Park, PA, 15102","Match","Exact","5129 BRIGHTWOOD RD, BETHEL PARK, PA, 15102","-80.03064,40.330994","617242529","L"
"1451","2798 Robinson Blvd, Pittsburgh, PA, 15235","Match","Exact","2798 ROBINSON BLVD, PITTSBURGH, PA, 15235","-79.86628,40.459858","641871928","R"
"1834","1314 E Carson St, Pittsburgh, PA, 15203","Match","Exact","1314 E CARSON ST, PITTSBURGH, PA, 15203","-79.985085,40.428772","51635959","R"
"1835","4231 Steubenville Pike, Pittsburgh, PA, 15205","Match","Exact","4231 STEUBENVILLE PIKE, PITTSBURGH, PA, 15205","-80.09112,40.439774","607649851","R"
"1836","200 Loews Drive, North Versailles, PA, 15137","Match","Exact","200 LOEWS DR, NORTH VERSAILLES, PA, 15137","-79.82243,40.3877","51818581","L"
"1837","3809 Grace St, Homestead, PA, 15120","Match","Exact","3809 GRACE ST, HOMESTEAD, PA, 15120","-79.90484,40.38413","51655144","L"
"1601","702 2nd Avenue, Tarentum, PA, 15084","Match","Non_Exact","702 E 2ND AVE, TARENTUM, PA, 15084","-79.74484,40.603752","635643552","L"
"1602","1305 5th Ave, Mc Keesport, PA, 15132","Match","Non_Exact","1305 5TH AVE, MCKEESPORT, PA, 15132","-79.85221,40.351982","51672595","L"
"1600","1323 Forbes Avenue, Pittsburgh, PA, 15219","Match","Exact","1323 FORBES AVE, PITTSBURGH, PA, 15219","-79.98787,40.437798","51635269","L"
"1609","1117 Milltown Rd, Verona, PA, 15147","Match","Exact","1117 MILLTOWN RD, VERONA, PA, 15147","-79.79,40.498554","606388380","L"
"1607","116 North Avenue, Pittsburgh, PA, 15212","Tie"
"1608","608 Chartiers Ave, Mc Kees Rocks, PA, 15136","Match","Exact","608 CHARTIERS AVE, MC KEES ROCKS, PA, 15136","-80.06058,40.465313","51621791","R"
